n,M,RMSE,Bias,SD,MAE,90%_SE,90%_AISE,90%_BOOT,95%_SE,95%_AISE,95%_BOOT
600,4,0.7106482060441899,-0.02726192072091692,0.7101251019591067,0.39491291924354793,0.877,0.8685,0.9655,0.947,0.932,0.9915
600,8,0.702870893763224,0.004026304115738142,0.7028593615899846,0.39458704286516966,0.8835,0.8735,0.951,0.9295,0.919,0.9825
600,16,1.2115050410503703,0.00279649514624652,1.2115018134965199,0.4049484509092408,0.8805,0.8655,0.9565,0.9325,0.9225,0.984
600,42,1.0232150274820782,0.03708922759163692,1.0225426062819123,0.3904880694484018,0.9085,0.8935,0.9565,0.9575,0.9405,0.989
1200,5,0.2983504488415486,0.01547367516635261,0.2979489145823487,0.2376191060736404,0.9055,0.9055,0.933,0.95,0.9505,0.972
1200,10,0.7443560836143098,0.026343923674543943,0.7438897612543562,0.25379721061529054,0.895,0.897,0.914,0.951,0.9505,0.9675
1200,21,0.6223542962194946,-0.0019344584107855356,0.6223512897821609,0.2508465034992277,0.893,0.894,0.9225,0.947,0.949,0.967
1200,53,0.29533780586727576,0.028902438558904425,0.29392017389054026,0.2356620881203518,0.9185,0.9185,0.9265,0.9615,0.9605,0.969
4800,8,0.14467883848956278,0.002172444991920695,0.14466252724685158,0.11454183027932889,0.902,0.9015,0.899,0.9485,0.9495,0.9535
4800,16,0.1442204293668017,0.0040715608273242205,0.1441629447506329,0.11550437433279839,0.9025,0.904,0.905,0.952,0.951,0.952
4800,33,0.14366747904305738,0.0067551399662443,0.14350858029617528,0.11479049723324836,0.9055,0.9045,0.9015,0.958,0.9575,0.956
4800,84,0.14541264798765965,0.016836525500764185,0.1444346551345803,0.11555774172379418,0.909,0.9085,0.9045,0.9495,0.9485,0.9445
9600,10,0.10302212634148972,-0.00569234243647605,0.10286474494941289,0.08233446073602241,0.903,0.904,0.904,0.9505,0.95,0.9505
9600,21,0.10206619492089632,-0.0022804798008999095,0.10204071519500482,0.08059894985144087,0.9075,0.9055,0.9075,0.952,0.9515,0.9485
9600,42,0.10021300723941426,-0.0005215394322285468,0.10021165010410478,0.07980786193813745,0.905,0.9035,0.9035,0.957,0.9555,0.9575
9600,106,0.10119926704130877,0.010547997403336494,0.10064805711228275,0.0808157145016905,0.9065,0.9045,0.901,0.9575,0.9565,0.954
